Catégorie : Toutes catégories

Jour,Masque: (France),hydroalcoolique: (France),Distanciation physique: (France)
2020-01-01,4,0,0
2020-01-02,3,0,< 1
2020-01-03,4,< 1,< 1
2020-01-04,4,< 1,0
2020-01-05,5,< 1,< 1
2020-01-06,3,< 1,0
2020-01-07,3,< 1,< 1
2020-01-08,3,< 1,< 1
2020-01-09,6,< 1,0
2020-01-10,4,< 1,0
2020-01-11,4,0,0
2020-01-12,5,< 1,0
2020-01-13,3,< 1,0
2020-01-14,3,< 1,0
2020-01-15,4,< 1,0
2020-01-16,4,< 1,0
2020-01-17,4,< 1,0
2020-01-18,4,< 1,< 1
2020-01-19,5,< 1,0
2020-01-20,4,< 1,0
2020-01-21,4,< 1,0
2020-01-22,4,< 1,< 1
2020-01-23,4,< 1,0
2020-01-24,6,< 1,0
2020-01-25,10,< 1,0
2020-01-26,9,< 1,0
2020-01-27,7,< 1,< 1
2020-01-28,7,< 1,0
2020-01-29,7,< 1,0
2020-01-30,6,< 1,0
2020-01-31,5,< 1,< 1
2020-02-01,6,< 1,0
2020-02-02,6,< 1,< 1
2020-02-03,5,< 1,< 1
2020-02-04,5,< 1,< 1
2020-02-05,5,< 1,0
2020-02-06,5,< 1,0
2020-02-07,5,< 1,0
2020-02-08,6,< 1,< 1
2020-02-09,6,< 1,0
2020-02-10,5,< 1,0
2020-02-11,5,< 1,0
2020-02-12,5,< 1,< 1
2020-02-13,5,< 1,0
2020-02-14,4,< 1,< 1
2020-02-15,5,< 1,0
2020-02-16,6,< 1,0
2020-02-17,5,< 1,0
2020-02-18,4,< 1,< 1
2020-02-19,5,< 1,< 1
2020-02-20,5,< 1,< 1
2020-02-21,4,< 1,0
2020-02-22,5,< 1,< 1
2020-02-23,11,< 1,0
2020-02-24,15,< 1,0
2020-02-25,19,< 1,< 1
2020-02-26,19,1,< 1
2020-02-27,17,2,< 1
2020-02-28,20,3,< 1
2020-02-29,15,6,< 1
2020-03-01,13,4,0
2020-03-02,14,11,0
2020-03-03,14,15,0
2020-03-04,12,17,0
2020-03-05,10,13,< 1
2020-03-06,10,12,0
2020-03-07,8,12,0
2020-03-08,10,6,< 1
2020-03-09,8,8,< 1
2020-03-10,8,8,< 1
2020-03-11,7,7,< 1
2020-03-12,11,11,< 1
2020-03-13,14,14,< 1
2020-03-14,18,15,< 1
2020-03-15,23,12,1
2020-03-16,32,11,< 1
2020-03-17,30,6,< 1
2020-03-18,31,5,< 1
2020-03-19,35,5,< 1
2020-03-20,41,5,< 1
2020-03-21,44,5,< 1
2020-03-22,36,4,< 1
2020-03-23,28,3,< 1
2020-03-24,25,3,< 1
2020-03-25,23,3,< 1
2020-03-26,25,3,< 1
2020-03-27,23,3,< 1
2020-03-28,27,3,< 1
2020-03-29,26,2,< 1
2020-03-30,23,2,< 1
2020-03-31,24,3,< 1
2020-04-01,25,3,< 1
2020-04-02,34,2,< 1
2020-04-03,31,3,< 1
2020-04-04,100,2,< 1
2020-04-05,83,2,< 1
2020-04-06,91,2,< 1
2020-04-07,85,2,< 1
2020-04-08,75,2,< 1
2020-04-09,62,2,< 1
2020-04-10,46,2,< 1
2020-04-11,47,2,< 1
2020-04-12,38,1,< 1
2020-04-13,50,2,< 1
2020-04-14,54,2,< 1
2020-04-15,49,2,1
2020-04-16,49,3,< 1
2020-04-17,48,2,< 1
2020-04-18,49,2,< 1
2020-04-19,61,3,1
2020-04-20,60,3,1
2020-04-21,57,4,< 1
2020-04-22,56,4,1
2020-04-23,71,4,1
2020-04-24,71,4,1
2020-04-25,62,3,< 1
2020-04-26,75,3,< 1
2020-04-27,74,4,< 1
2020-04-28,87,4,1
2020-04-29,78,4,1
2020-04-30,75,4,1
2020-05-01,72,2,1
2020-05-02,74,2,1
2020-05-03,69,2,1
2020-05-04,95,3,1
2020-05-05,98,4,1
2020-05-06,78,4,1
2020-05-07,70,3,1
2020-05-08,67,3,1
2020-05-09,65,3,1
2020-05-10,64,3,1
2020-05-11,75,4,1
2020-05-12,64,4,1
2020-05-13,57,3,1
2020-05-14,46,3,1
2020-05-15,42,3,1
2020-05-16,42,2,1
2020-05-17,31,2,1
2020-05-18,31,4,1
2020-05-19,27,4,1
2020-05-20,25,2,1
2020-05-21,21,2,< 1
2020-05-22,21,2,< 1
2020-05-23,20,1,1
2020-05-24,17,1,1
2020-05-25,17,2,1
2020-05-26,17,2,1
2020-05-27,16,2,< 1
2020-05-28,15,2,1
2020-05-29,16,1,1
2020-05-30,14,1,< 1
2020-05-31,13,1,1
